#,Name,length,height,wingspan
1,Mo BambaORL | C,10.75,"6'11.25""","7'10"""
2,Talen Horton-TuckerLAL | SF,9.75,"6'3.5""","7'1.25"""
3,Isaiah StewartDET | C,9.5,"6'7.25""","7'4.75"""
4,Robert Williams IIIBOS | C,9.5,"6'8""","7'5.5"""
5,Montrezl HarrellWAS | C,9.25,"6'7""","7'4.25"""
6,Udoka AzubuikeUTA | C,9.25,"6'10""","7'7.25"""
7,Frank NtilikinaDAL | PG,9,"6'4""","7'1"""
8,Josh OkogieMIN | SG,9,"6'3""","7'0"""
9,Kawhi LeonardLAC | SF,9,"6'6""","7'3"""
10,Tacko FallCLE | C,9,"7'5.25""","8'2.25"""
11,Donovan MitchellUTA | SG,8.75,"6'1.25""","6'10"""
12,Nassir LittlePOR | SF,8.75,"6'4.5""","7'1.25"""
13,Reggie JacksonLAC | PG,8.75,"6'2.5""","6'11.25"""
14,Andre DrummondPHI | C,8.5,"6'9.75""","7'6.25"""
15,Hassan WhitesideUTA | C,8.5,"6'10.5""","7'7"""
16,Kelly Oubre Jr.CHA | SF,8.5,"6'5.75""","7'2.25"""
17,Robert Woodard IISAC | PF,8.5,"6'5.5""","7'2"""
18,Thomas BryantWAS | C,8.5,"6'9.5""","7'6"""
19,Anthony DavisLAL | C,8.25,"6'9.25""","7'5.5"""
20,Jarrett AllenCLE | C,8.25,"6'9""","7'5.25"""
21,Jerami GrantDET | PF,8.25,"6'6.5""","7'2.75"""
22,Shake MiltonPHI | SG,8.25,"6'4.5""","7'0.75"""
23,Moses MoodyGSW | SG,8.25,"6'4.5""","7'0.75"""
24,DeMarcus CousinsMIL | C,8.25,"6'9.5""","7'5.75"""
25,Abdel NaderPHX | SF,8,"6'5""","7'1"""
26,Brandon IngramNOP | SF,8,"6'7""","7'3"""
27,Keita Bates-DiopSAS | SF,8,"6'7.25""","7'3.25"""
28,Kent BazemoreLAL | SG,8,"6'3.5""","6'11.5"""
29,OG AnunobyTOR | SF,8,"6'6.25""","7'2.25"""
30,Rudy GayUTA | PF,8,"6'7""","7'3"""
31,Rudy GobertUTA | C,8,"7'0.5""","7'8.5"""
32,Scottie LewisCHA | SG,8,"6'4""","7'0"""
33,Aaron HolidayWAS | PG,7.75,"5'11.75""","6'7.5"""
34,George HillMIL | PG,7.75,"6'1.25""","6'9"""
